matching_units_configuration,distance_to_cc,block_ids,currency_code,is_no_prepayment_block,cc_required,max_1440_photo_url,is_beach_front,bwallet,min_total_price,default_wishlist_name,city_trans,distance,preferred,currencycode,wishlist_count,city_name_en,id,mobile_discount_percentage,hotel_has_vb_boost,is_mobile_deal,country_trans,accommodation_type_name,ufi,timezone,price_breakdown,countrycode,nearest_beach_name,district,distances,city_in_trans,checkout,badges,cc1,in_best_district,children_not_allowed,type,review_nr,longitude,latitude,review_score,is_genius_deal,soldout,hotel_id,review_recommendation,main_photo_url,url,accommodation_type,composite_price_breakdown,is_smart_deal,hotel_name_trans,is_geo_rate,genius_discount_percentage,is_city_center,selected_review_topic,city,native_ads_tracking,districts,address,native_ads_cpc,main_photo_id,hotel_facilities,is_free_cancellable,district_id,review_score_word,zip,checkin,class_is_estimated,address_trans,native_ad_id,price_is_final,preferred_plus,hotel_name,extended,default_language,unit_configuration_label,max_photo_url,class,cant_book
"{'matching_units_common_config': {'localized_area': None, 'unit_type_id': 5}}",0.40,['30262701_310028030_2_0_0'],USD,0,1,https://cf.bstatic.com/xdata/images/hotel/1440x1440/94790375.jpg?k=d7ee0e26cdc5781d15cfdd377442b46bc06a67587d687cb3201976751205e9e1&o=,0,{'hotel_eligibility': 0},234.7404,Honolulu,Honolulu,0.38,1,USD,0,"Honolulu (Oahu, Hawaii)",property_card_302627,0.0,0,0,United States,Hotel,20030916,Pacific/Honolulu,"{'has_fine_print_charges': 0, 'sum_excluded_raw': '0.00', 'currency': 'USD', 'gross_price': 234.74, 'all_inclusive_price': 234.74, 'has_incalculable_charges': 0, 'has_tax_exceptions': 0}",us,Sand Island Beach,Downtown Honolulu,"[{'icon_name': 'bui_geo_pin', 'icon_set': None, 'text': '\u200eIn city centre\u202c'}, {'icon_name': 'bui_distance', 'text': '1.6 km from beach', 'icon_set': None}]",in Honolulu,"{'until': '12:00', 'from': ''}",[],us,0,,property_card,225,-157.860639095306,21.3092251822246,8.1,0,0,302627,,https://cf.bstatic.com/xdata/images/hotel/square60/94790375.jpg?k=d7ee0e26cdc5781d15cfdd377442b46bc06a67587d687cb3201976751205e9e1&o=,https://www.booking.com/hotel/us/aston-at-the-executive-centre.html,204,"{'benefits': [], 'net_amount': {'value': 199, 'currency': 'USD'}, 'excluded_amount': {'value': 0, 'currency': 'USD'}, 'gross_amount_per_night': {'value': 234.7404, 'currency': 'USD'}, 'gross_amount': {'value': 234.7404, 'currency': 'USD'}, 'product_price_breakdowns': [{'benefits': [], 'net_amount': {'value': 199, 'currency': 'USD'}, 'excluded_amount': {'value': 0, 'currency': 'USD'}, 'gross_amount_per_night': {'value': 234.7404, 'currency': 'USD'}, 'gross_amount': {'currency': 'USD', 'value': 234.7404}, 'items': [{'item_amount': {'currency': 'USD', 'value': 20.3975}, 'details': '10.25 % Tax', 'base': {'kind': 'percentage', 'percentage': 10.25}, 'inclusion_type': 'included', 'name': 'Tax', 'kind': 'charge'}, {'kind': 'charge', 'name': 'City tax', 'inclusion_type': 'included', 'base': {'percentage': 4.71, 'kind': 'percentage'}, 'details': '4.71 % City tax', 'item_amount': {'value': 9.3729, 'currency': 'USD'}}, {'kind': 'charge', 'name': 'Tourism fee', 'inclusion_type': 'included', 'base': {'kind': 'percentage', 'percentage': 3.0}, 'details': '3 % Tourism fee', 'item_amount': {'currency': 'USD', 'value': 5.97}}], 'included_taxes_and_charges_amount': {'value': 35.7404, 'currency': 'USD'}, 'all_inclusive_amount': {'value': 234.7404, 'currency': 'USD'}}], 'all_inclusive_amount': {'currency': 'USD', 'value': 234.7404}, 'items': [{'base': {'kind': 'percentage', 'percentage': 10.25}, 'details': '10.25 % Tax', 'item_amount': {'value': 20.3975, 'currency': 'USD'}, 'kind': 'charge', 'name': 'Tax', 'inclusion_type': 'included'}, {'name': 'City tax', 'kind': 'charge', 'inclusion_type': 'included', 'base': {'percentage': 4.71, 'kind': 'percentage'}, 'details': '4.71 % City tax', 'item_amount': {'currency': 'USD', 'value': 9.3729}}, {'inclusion_type': 'included', 'name': 'Tourism fee', 'kind': 'charge', 'item_amount': {'value': 5.97, 'currency': 'USD'}, 'details': '3 % Tourism fee', 'base': {'percentage': 3.0, 'kind': 'percentage'}}], 'included_taxes_and_charges_amount': {'currency': 'USD', 'value': 35.7404}}",0,Aston at the Executive Centre Hotel,,0,1,,"Honolulu (Oahu, Hawaii)",,1932,1088 Bishop Street,0.0,94790375,"450,109,119,426,468,48,8,451,104,96,422,16,420,111,455,454,220,456,2,121,459,159,452,23,103,301,63,461,457,81,136,51,436,160,135,181,462,107,47,22,108,445,466,464,433,489,492,192,305,449",1,1932,Very good,HI 96813,"{'until': '', 'from': '15:00'}",0,1088 Bishop Street,,1,0,Aston at the Executive Centre Hotel,0,en,Suite with Mountain View<br/><b>Private suite</b>: 1 bed,https://cf.bstatic.com/xdata/images/hotel/max1280x900/94790375.jpg?k=d7ee0e26cdc5781d15cfdd377442b46bc06a67587d687cb3201976751205e9e1&o=,4.0,
"{'matching_units_common_config': {'localized_area': None, 'unit_type_id': 4}}",4.65,['50641843_344383462_2_2_0'],USD,1,1,https://cf.bstatic.com/xdata/images/hotel/1440x1440/80989582.jpg?k=07805d90523424c8fdb469b1f8abe3c8b68480642feaac701d6a091520babb57&o=,0,{'hotel_eligibility': 0},262.118916,Honolulu,Honolulu,4.62,1,USD,0,"Honolulu (Oahu, Hawaii)",property_card_506418,24.53568,0,1,United States,Hotel,20030916,Pacific/Honolulu,"{'gross_price': 262.12, 'currency': 'USD', 'sum_excluded_raw': '0.00', 'has_fine_print_charges': 0, 'has_tax_exceptions': 0, 'has_incalculable_charges': 0, 'all_inclusive_price': 262.12}",us,Waikiki Beach,Waikiki,"[{'icon_name': 'bui_geo_pin', 'text': '\u200eWaikiki\u202c • \u200e4.6 km from centre\u202c', 'icon_set': None}, {'icon_name': 'bui_distance', 'text': '350 m from beach', 'icon_set': None}]",in Honolulu,"{'from': '', 'until': '12:00'}","[{'id': 'mobile_price', 'text': 'Mobile-only price', 'badge_variant': 'constructive'}]",us,0,,property_card,1786,-157.825025,21.278943,8.2,0,0,506418,,https://cf.bstatic.com/xdata/images/hotel/square60/80989582.jpg?k=07805d90523424c8fdb469b1f8abe3c8b68480642feaac701d6a091520babb57&o=,https://www.booking.com/hotel/us/ohana-waikiki-west.html,204,"{'strikethrough_amount': {'currency': 'USD', 'value': 286.654596}, 'strikethrough_amount_per_night': {'value': 286.654596, 'currency': 'USD'}, 'product_price_breakdowns': [{'excluded_amount': {'currency': 'USD', 'value': 0}, 'net_amount': {'currency': 'USD', 'value': 187.21}, 'gross_amount_per_night': {'value': 262.118916, 'currency': 'USD'}, 'discounted_amount': {'value': 24.53568, 'currency': 'USD'}, 'gross_amount': {'currency': 'USD', 'value': 262.118916}, 'included_taxes_and_charges_amount': {'value': 74.908916, 'currency': 'USD'}, 'items': [{'details': '10.25 % Tax', 'base': {'percentage': 10.25, 'kind': 'percentage'}, 'item_amount': {'currency': 'USD', 'value': 22.776525}, 'kind': 'charge', 'name': 'Tax', 'inclusion_type': 'included'}, {'details': '4.21 % City tax', 'base': {'percentage': 4.21, 'kind': 'percentage'}, 'item_amount': {'value': 9.355041, 'currency': 'USD'}, 'name': 'City tax', 'kind': 'charge', 'inclusion_type': 'included'}, {'name': 'Tourism fee', 'kind': 'charge', 'inclusion_type': 'included', 'details': '3 % Tourism fee', 'base': {'percentage': 3.0, 'kind': 'percentage'}, 'item_amount': {'value': 6.6663, 'currency': 'USD'}}, {'kind': 'charge', 'name': 'local council tax', 'inclusion_type': 'included', 'details': '0.50 % local council tax', 'base': {'kind': 'percentage', 'percentage': 0.5}, 'item_amount': {'currency': 'USD', 'value': 1.11105}}, {'inclusion_type': 'included', 'kind': 'charge', 'name': 'Resort fee', 'item_amount': {'currency': 'USD', 'value': 35}, 'details': 'Resort fee', 'base': {'kind': 'per_night', 'base_amount': 35.0}}, {'identifier': 'mobile-discount', 'name': 'Mobile-only price', 'kind': 'discount', 'base': {'kind': 'rate'}, 'details': ""You're getting a reduced rate because you're using a mobile device."", 'item_amount': {'value': 24.53568, 'currency': 'USD'}}], 'all_inclusive_amount': {'value': 262.118916, 'currency': 'USD'}, 'benefits': [{'name': 'Mobile-only price', 'kind': 'badge', 'badge_variant': 'constructive', 'details': 'You’re getting a reduced rate because this property is offering a discount when you book on a mobile device.', 'identifier': 'mobile-rate', 'icon': None}], 'strikethrough_amount': {'currency': 'USD', 'value': 286.654596}, 'strikethrough_amount_per_night': {'currency': 'USD', 'value': 286.654596}}], 'benefits': [{'kind': 'badge', 'name': 'Mobile-only price', 'badge_variant': 'constructive', 'details': 'You’re getting a reduced rate because this property is offering a discount when you book on a mobile device.', 'identifier': 'mobile-rate', 'icon': None}], 'gross_amount': {'value': 262.118916, 'currency': 'USD'}, 'all_inclusive_amount': {'value': 262.118916, 'currency': 'USD'}, 'included_taxes_and_charges_amount': {'currency': 'USD', 'value': 74.908916}, 'items': [{'item_amount': {'currency': 'USD', 'value': 22.776525}, 'base': {'percentage': 10.25, 'kind': 'percentage'}, 'details': '10.25 % Tax', 'inclusion_type': 'included', 'kind': 'charge', 'name': 'Tax'}, {'name': 'City tax', 'kind': 'charge', 'inclusion_type': 'included', 'base': {'percentage': 4.21, 'kind': 'percentage'}, 'details': '4.21 % City tax', 'item_amount': {'currency': 'USD', 'value': 9.355041}}, {'base': {'kind': 'percentage', 'percentage': 3.0}, 'details': '3 % Tourism fee', 'item_amount': {'currency': 'USD', 'value': 6.6663}, 'kind': 'charge', 'name': 'Tourism fee', 'inclusion_type': 'included'}, {'item_amount': {'value': 1.11105, 'currency': 'USD'}, 'base': {'percentage': 0.5, 'kind': 'percentage'}, 'details': '0.50 % local council tax', 'inclusion_type': 'included', 'kind': 'charge', 'name': 'local council tax'}, {'inclusion_type': 'included', 'name': 'Resort fee', 'kind': 'charge', 'item_amount': {'value': 35, 'currency': 'USD'}, 'details': 'Resort fee', 'base': {'kind': 'per_night', 'base_amount': 35.0}}, {'details': ""You're getting a reduced rate because you're using a mobile device."", 'base': {'kind': 'rate'}, 'item_amount': {'value': 24.53568, 'currency': 'USD'}, 'kind': 'discount', 'name': 'Mobile-only price', 'identifier': 'mobile-discount'}], 'excluded_amount': {'currency': 'USD', 'value': 0}, 'net_amount': {'value': 187.21, 'currency': 'USD'}, 'gross_amount_per_night': {'value': 262.118916, 'currency': 'USD'}, 'discounted_amount': {'value': 24.53568, 'currency': 'USD'}}",0,Hilton Garden Inn Waikiki Beach,,0,0,,"Honolulu (Oahu, Hawaii)",,1934,2330 Kuhio Avenue,0.0,80989582,"124,426,468,48,212,109,450,44,49,453,96,422,488,187,448,104,179,101,470,456,423,438,420,452,4,505,78,25,461,439,6,52,163,160,457,3,158,494,108,22,418,445,495,484,186,485,7,499,449,91,20,182,464,465,64,489,424,467,253,425,474,119,28,475,75,188,16,487,8,222,451,198,53,479,447,111,455,220,454,211,502,437,459,23,200,506,421,2,483,161,480,301,490,51,134,436,460,181,458,81,107,446,47,145,118,184,486,462,185,478,492,11,305,466,433",1,1934,Very good,HI 96815,"{'until': '', 'from': '15:00'}",0,2330 Kuhio Avenue,,1,0,Hilton Garden Inn Waikiki Beach,0,en,Room with Two Double Beds - Hearing Access<br/><b>Hotel room</b>: 2 beds,https://cf.bstatic.com/xdata/images/hotel/max1280x900/80989582.jpg?k=07805d90523424c8fdb469b1f8abe3c8b68480642feaac701d6a091520babb57&o=,4.0,
"{'matching_units_common_config': {'localized_area': None, 'unit_type_id': 9}}",5.35,['30236201_329833284_2_0_0'],USD,0,1,https://cf.bstatic.com/xdata/images/hotel/1440x1440/16908771.jpg?k=669a76435471ecc67ffafdd3427622648e6630717084c26832807828f8e78639&o=,1,{'hotel_eligibility': 0},285.58116,Honolulu,Honolulu,5.30,1,USD,0,"Honolulu (Oahu, Hawaii)",property_card_302362,25.83324,0,1,United States,Hotel,20030916,Pacific/Honolulu,"{'has_fine_print_charges': 1, 'sum_excluded_raw': '0.00', 'currency': 'USD', 'gross_price': 285.58, 'all_inclusive_price': 285.58, 'has_tax_exceptions': 0, 'has_incalculable_charges': 0}",us,Kuhio Beach,Waikiki,"[{'text': '\u200eWaikiki\u202c • \u200e5 km from centre\u202c', 'icon_set': None, 'icon_name': 'bui_geo_pin'}, {'icon_name': 'bui_beach_palm', 'text_style': 'Bui.Font.Smaller.Bold.Grayscale.Dark', 'icon_set': None, 'text': 'Beachfront'}]",in Honolulu,"{'until': '12:00', 'from': ''}","[{'text': 'Mobile-only price', 'id': 'mobile_price', 'badge_variant': 'constructive'}]",us,0,,property_card,1250,-157.822801172733,21.2722702828833,8.0,0,0,302362,,https://cf.bstatic.com/xdata/images/hotel/square60/16908771.jpg?k=669a76435471ecc67ffafdd3427622648e6630717084c26832807828f8e78639&o=,https://www.booking.com/hotel/us/aston-waikiki-beach.html,204,"{'product_price_breakdowns': [{'all_inclusive_amount': {'currency': 'USD', 'value': 285.58116}, 'items': [{'kind': 'charge', 'name': 'Tax', 'inclusion_type': 'included', 'details': '10.25 % Tax', 'base': {'kind': 'percentage', 'percentage': 10.25}, 'item_amount': {'currency': 'USD', 'value': 24.81525}}, {'name': 'City tax', 'kind': 'charge', 'inclusion_type': 'included', 'base': {'percentage': 4.21, 'kind': 'percentage'}, 'details': '4.21 % City tax', 'item_amount': {'value': 10.19241, 'currency': 'USD'}}, {'name': 'Tourism fee', 'kind': 'charge', 'inclusion_type': 'included', 'details': '3 % Tourism fee', 'base': {'kind': 'percentage', 'percentage': 3.0}, 'item_amount': {'currency': 'USD', 'value': 7.263}}, {'item_amount': {'value': 1.2105, 'currency': 'USD'}, 'base': {'percentage': 0.5, 'kind': 'percentage'}, 'details': '0.50 % local council tax', 'inclusion_type': 'included', 'name': 'local council tax', 'kind': 'charge'}, {'inclusion_type': 'included', 'kind': 'charge', 'name': 'Resort fee', 'item_amount': {'currency': 'USD', 'value': 45}, 'details': 'Resort fee', 'base': {'kind': 'per_night', 'base_amount': 45.0}}, {'kind': 'discount', 'name': 'Mobile-only price', 'identifier': 'mobile-discount', 'details': ""You're getting a reduced rate because you're using a mobile device."", 'base': {'kind': 'rate'}, 'item_amount': {'currency': 'USD', 'value': 25.83324}}], 'included_taxes_and_charges_amount': {'currency': 'USD', 'value': 88.48116}, 'gross_amount': {'currency': 'USD', 'value': 285.58116}, 'discounted_amount': {'value': 25.83324, 'currency': 'USD'}, 'gross_amount_per_night': {'value': 285.58116, 'currency': 'USD'}, 'net_amount': {'currency': 'USD', 'value': 197.1}, 'excluded_amount': {'value': 0, 'currency': 'USD'}, 'strikethrough_amount_per_night': {'currency': 'USD', 'value': 311.4144}, 'strikethrough_amount': {'currency': 'USD', 'value': 311.4144}, 'benefits': [{'icon': None, 'identifier': 'mobile-rate', 'details': 'You’re getting a reduced rate because this property is offering a discount when you book on a mobile device.', 'badge_variant': 'constructive', 'name': 'Mobile-only price', 'kind': 'badge'}]}], 'strikethrough_amount_per_night': {'value': 311.4144, 'currency': 'USD'}, 'strikethrough_amount': {'value': 311.4144, 'currency': 'USD'}, 'benefits': [{'identifier': 'mobile-rate', 'icon': None, 'name': 'Mobile-only price', 'kind': 'badge', 'badge_variant': 'constructive', 'details': 'You’re getting a reduced rate because this property is offering a discount when you book on a mobile device.'}], 'items': [{'base': {'percentage': 10.25, 'kind': 'percentage'}, 'details': '10.25 % Tax', 'item_amount': {'currency': 'USD', 'value': 24.81525}, 'name': 'Tax', 'kind': 'charge', 'inclusion_type': 'included'}, {'base': {'percentage': 4.21, 'kind': 'percentage'}, 'details': '4.21 % City tax', 'item_amount': {'value': 10.19241, 'currency': 'USD'}, 'kind': 'charge', 'name': 'City tax', 'inclusion_type': 'included'}, {'name': 'Tourism fee', 'kind': 'charge', 'inclusion_type': 'included', 'details': '3 % Tourism fee', 'base': {'kind': 'percentage', 'percentage': 3.0}, 'item_amount': {'currency': 'USD', 'value': 7.263}}, {'item_amount': {'value': 1.2105, 'currency': 'USD'}, 'details': '0.50 % local council tax', 'base': {'kind': 'percentage', 'percentage': 0.5}, 'inclusion_type': 'included', 'name': 'local council tax', 'kind': 'charge'}, {'item_amount': {'value': 45, 'currency': 'USD'}, 'base': {'kind': 'per_night', 'base_amount': 45.0}, 'details': 'Resort fee', 'inclusion_type': 'included', 'kind': 'charge', 'name': 'Resort fee'}, {'base': {'kind': 'rate'}, 'details': ""You're getting a reduced rate because you're using a mobile device."", 'item_amount': {'value': 25.83324, 'currency': 'USD'}, 'name': 'Mobile-only price', 'kind': 'discount', 'identifier': 'mobile-discount'}], 'included_taxes_and_charges_amount': {'currency': 'USD', 'value': 88.48116}, 'all_inclusive_amount': {'currency': 'USD', 'value': 285.58116}, 'gross_amount': {'value': 285.58116, 'currency': 'USD'}, 'gross_amount_per_night': {'value': 285.58116, 'currency': 'USD'}, 'discounted_amount': {'currency': 'USD', 'value': 25.83324}, 'excluded_amount': {'value': 0, 'currency': 'USD'}, 'net_amount': {'value': 197.1, 'currency': 'USD'}}",0,Aston Waikiki Beach Hotel,,0,0,,"Honolulu (Oahu, Hawaii)",,1934,2570 Kalakaua Avenue,0.0,16908771,"220,111,455,2,200,23,459,28,14,453,75,450,109,119,253,467,48,124,468,104,147,448,222,8,198,451,16,96,488,484,462,145,47,22,302,108,118,445,146,494,446,107,194,465,489,182,20,433,464,90,449,199,91,492,7,11,305,52,443,493,301,6,161,82,78,3,458,81,457,160,76,51,436",1,1934,Very good,HI 96815,"{'from': '15:00', 'until': ''}",0,2570 Kalakaua Avenue,,0,0,Aston Waikiki Beach Hotel,0,en,City View Double Room<br/><b>Hotel room</b>: 2 beds,https://cf.bstatic.com/xdata/images/hotel/max1280x900/16908771.jpg?k=669a76435471ecc67ffafdd3427622648e6630717084c26832807828f8e78639&o=,4.0,
"{'matching_units_common_config': {'unit_type_id': 9, 'localized_area': None}}",4.30,['18110907_295420022_2_34_0'],USD,1,1,https://cf.bstatic.com/xdata/images/hotel/1440x1440/180816452.jpg?k=08c5a5075a94d9378b6ca429eed04ab5a9099f6d322d892413c1e5d25d93657f&o=,0,{'hotel_eligibility': 0},229.60914,Honolulu,Honolulu,4.25,1,USD,0,"Honolulu (Oahu, Hawaii)",property_card_181109,0.0,0,0,United States,Hotel,20030916,Pacific/Honolulu,"{'has_fine_print_charges': 0, 'currency': 'USD', 'gross_price': 229.61, 'sum_excluded_raw': '0.00', 'all_inclusive_price': 229.61, 'has_tax_exceptions': 0, 'has_incalculable_charges': 0}",us,Waikiki Beach,Waikiki,"[{'icon_name': 'bui_geo_pin', 'icon_set': None, 'text': '\u200eWaikiki\u202c • \u200e4.3 km from centre\u202c'}, {'icon_name': 'bui_distance', 'icon_set': None, 'text': '500 m from beach'}]",in Honolulu,"{'from': '', 'until': '11:00'}",[],us,0,,property_card,394,-157.827690839767,21.2810893697698,7.3,0,0,181109,,https://cf.bstatic.com/xdata/images/hotel/square60/180816452.jpg?k=08c5a5075a94d9378b6ca429eed04ab5a9099f6d322d892413c1e5d25d93657f&o=,https://www.booking.com/hotel/us/courtyard-waikiki-beach.html,204,"{'gross_amount_per_night': {'currency': 'USD', 'value': 229.60914}, 'net_amount': {'value': 194.65, 'currency': 'USD'}, 'benefits': [], 'excluded_amount': {'value': 0, 'currency': 'USD'}, 'product_price_breakdowns': [{'excluded_amount': {'value': 0, 'currency': 'USD'}, 'benefits': [], 'net_amount': {'currency': 'USD', 'value': 194.65}, 'gross_amount_per_night': {'value': 229.60914, 'currency': 'USD'}, 'gross_amount': {'currency': 'USD', 'value': 229.60914}, 'items': [{'inclusion_type': 'included', 'name': 'Tax', 'kind': 'charge', 'item_amount': {'value': 19.951625, 'currency': 'USD'}, 'details': '10.25 % Tax', 'base': {'kind': 'percentage', 'percentage': 10.25}}, {'inclusion_type': 'included', 'kind': 'charge', 'name': 'City tax', 'item_amount': {'currency': 'USD', 'value': 9.168015}, 'details': '4.71 % City tax', 'base': {'percentage': 4.71, 'kind': 'percentage'}}, {'kind': 'charge', 'name': 'Tourism fee', 'inclusion_type': 'included', 'base': {'kind': 'percentage', 'percentage': 3.0}, 'details': '3 % Tourism fee', 'item_amount': {'currency': 'USD', 'value': 5.8395}}], 'included_taxes_and_charges_amount': {'value': 34.95914, 'currency': 'USD'}, 'all_inclusive_amount': {'currency': 'USD', 'value': 229.60914}}], 'included_taxes_and_charges_amount': {'currency': 'USD', 'value': 34.95914}, 'items': [{'inclusion_type': 'included', 'kind': 'charge', 'name': 'Tax', 'item_amount': {'value': 19.951625, 'currency': 'USD'}, 'base': {'percentage': 10.25, 'kind': 'percentage'}, 'details': '10.25 % Tax'}, {'inclusion_type': 'included', 'name': 'City tax', 'kind': 'charge', 'item_amount': {'currency': 'USD', 'value': 9.168015}, 'details': '4.71 % City tax', 'base': {'percentage': 4.71, 'kind': 'percentage'}}, {'name': 'Tourism fee', 'kind': 'charge', 'inclusion_type': 'included', 'details': '3 % Tourism fee', 'base': {'kind': 'percentage', 'percentage': 3.0}, 'item_amount': {'value': 5.8395, 'currency': 'USD'}}], 'all_inclusive_amount': {'currency': 'USD', 'value': 229.60914}, 'gross_amount': {'value': 229.60914, 'currency': 'USD'}}",0,Courtyard by Marriott Waikiki Beach,,0,0,,"Honolulu (Oahu, Hawaii)",,1934,400 Royal Hawaiian Avenue,0.0,180816452,"502,54,238,455,111,220,65,203,2,506,459,23,70,226,75,14,28,219,250,424,425,253,467,451,222,447,497,248,188,16,503,462,244,185,245,446,496,107,118,47,145,305,11,492,442,227,90,443,493,440,490,161,81,436,134,51,423,420,456,237,505,504,450,109,453,44,49,468,124,212,48,448,498,422,488,205,96,187,247,186,246,55,494,444,495,445,108,22,242,182,20,489,69,7,499,449,15,143,63,52,25,243,82,240,439,6,457,441,491,158,3,76,434,160",1,1934,Good,HI 96815,"{'from': '16:00', 'until': ''}",0,400 Royal Hawaiian Avenue,,1,0,Courtyard by Marriott Waikiki Beach,0,en,King or Queen Room<br/><b>Hotel room</b>: 1 bed,https://cf.bstatic.com/xdata/images/hotel/max1280x900/180816452.jpg?k=08c5a5075a94d9378b6ca429eed04ab5a9099f6d322d892413c1e5d25d93657f&o=,4.0,
"{'matching_units_common_config': {'localized_area': None, 'unit_type_id': 7}}",5.30,['18061122_226041718_2_1_0'],USD,0,1,https://cf.bstatic.com/xdata/images/hotel/1440x1440/323972896.jpg?k=595e3d83f00c03ccdaa7fa9f8b245b5dfb9d184d0ca2838e0a12cbdd26dbc05b&o=,0,{'hotel_eligibility': 0},301.5949993875,Honolulu,Honolulu,5.30,1,USD,0,"Honolulu (Oahu, Hawaii)",property_card_180611,0.0,1,0,United States,Hotel,20030916,Pacific/Honolulu,"{'all_inclusive_price': 301.59, 'has_tax_exceptions': 0, 'has_incalculable_charges': 0, 'has_fine_print_charges': 1, 'gross_price': 301.59, 'currency': 'USD', 'sum_excluded_raw': '0.00'}",us,Kuhio Beach,Waikiki,"[{'icon_set': None, 'text': '\u200eWaikiki\u202c • \u200e5 km from centre\u202c', 'icon_name': 'bui_geo_pin'}, {'icon_set': None, 'text': '250 m from beach', 'icon_name': 'bui_distance'}]",in Honolulu,"{'from': '', 'until': '11:00'}",[],us,0,,property_card,1460,-157.821519076824,21.2735200085076,7.9,0,0,180611,,https://cf.bstatic.com/xdata/images/hotel/square60/323972896.jpg?k=595e3d83f00c03ccdaa7fa9f8b245b5dfb9d184d0ca2838e0a12cbdd26dbc05b&o=,https://www.booking.com/hotel/us/hyatt-place-waikiki-beach.html,204,"{'benefits': [], 'net_amount': {'value': 227.05, 'currency': 'USD'}, 'excluded_amount': {'value': 0, 'currency': 'USD'}, 'gross_amount_per_night': {'currency': 'USD', 'value': 301.5949993875}, 'gross_amount': {'value': 301.5949993875, 'currency': 'USD'}, 'product_price_breakdowns': [{'gross_amount_per_night': {'currency': 'USD', 'value': 301.5949993875}, 'excluded_amount': {'value': 0, 'currency': 'USD'}, 'net_amount': {'currency': 'USD', 'value': 227.05}, 'benefits': [], 'included_taxes_and_charges_amount': {'currency': 'USD', 'value': 74.5449993875}, 'items': [{'name': 'Tax', 'kind': 'charge', 'inclusion_type': 'included', 'base': {'kind': 'percentage', 'percentage': 10.25}, 'details': '10.25 % Tax', 'item_amount': {'value': 28.0394443875, 'currency': 'USD'}}, {'kind': 'charge', 'name': 'City tax', 'inclusion_type': 'included', 'details': '4.71 % City tax', 'base': {'kind': 'percentage', 'percentage': 4.71}, 'item_amount': {'value': 10.694055, 'currency': 'USD'}}, {'item_amount': {'currency': 'USD', 'value': 29}, 'base': {'kind': 'per_night', 'base_amount': 29.0}, 'details': 'Destination fee', 'inclusion_type': 'included', 'kind': 'charge', 'name': 'Destination fee'}, {'name': 'government tax', 'kind': 'charge', 'inclusion_type': 'included', 'details': '3 % government tax', 'base': {'kind': 'percentage', 'percentage': 3.0}, 'item_amount': {'currency': 'USD', 'value': 6.8115}}], 'all_inclusive_amount': {'value': 301.5949993875, 'currency': 'USD'}, 'gross_amount': {'currency': 'USD', 'value': 301.5949993875}}], 'all_inclusive_amount': {'currency': 'USD', 'value': 301.5949993875}, 'included_taxes_and_charges_amount': {'value': 74.5449993875, 'currency': 'USD'}, 'items': [{'base': {'kind': 'percentage', 'percentage': 10.25}, 'details': '10.25 % Tax', 'item_amount': {'currency': 'USD', 'value': 28.0394443875}, 'kind': 'charge', 'name': 'Tax', 'inclusion_type': 'included'}, {'kind': 'charge', 'name': 'City tax', 'inclusion_type': 'included', 'base': {'percentage': 4.71, 'kind': 'percentage'}, 'details': '4.71 % City tax', 'item_amount': {'value': 10.694055, 'currency': 'USD'}}, {'item_amount': {'value': 29, 'currency': 'USD'}, 'base': {'kind': 'per_night', 'base_amount': 29.0}, 'details': 'Destination fee', 'inclusion_type': 'included', 'name': 'Destination fee', 'kind': 'charge'}, {'details': '3 % government tax', 'base': {'percentage': 3.0, 'kind': 'percentage'}, 'item_amount': {'value': 6.8115, 'currency': 'USD'}, 'name': 'government tax', 'kind': 'charge', 'inclusion_type': 'included'}]}",0,Hyatt Place Waikiki Beach,1,0,0,,"Honolulu (Oahu, Hawaii)",,1934,175 Paoakalani Avenue,0.0,323972896,"220,111,455,23,459,421,2,203,467,253,425,424,219,28,475,119,16,447,8,451,47,107,446,496,184,486,462,478,492,305,11,433,161,480,483,490,440,301,493,443,460,181,51,436,458,81,470,456,473,423,4,110,505,48,124,426,468,49,453,109,450,96,422,104,472,448,108,22,418,495,445,407,494,444,117,485,449,499,91,7,489,20,464,461,439,6,78,25,52,143,160,163,158,457",1,1934,Good,HI 96815,"{'until': '', 'from': '15:00'}",0,175 Paoakalani Avenue,,0,0,Hyatt Place Waikiki Beach,0,en,King Room with Mountain View<br/><b>Hotel room</b>: 2 beds,https://cf.bstatic.com/xdata/images/hotel/max1280x900/323972896.jpg?k=595e3d83f00c03ccdaa7fa9f8b245b5dfb9d184d0ca2838e0a12cbdd26dbc05b&o=,4.0,
