tripadvisor_id,name,thumbnail,longitude,latitude,city,state,country,address,price,currency_code,rating,popularity,subcategory,detail_url,weekday_hours,product_website
20039692,Subway,,-157.96179,21.358162,Honolulu,Honolulu,Pacific/Honolulu,"Mini Mart Bldg 75, Honolulu, Oahu, HI 96818",0,JPY,,0,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d20039692-Reviews-Subway-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 09:00 - 13:30', 'Tuesday: 09:00 - 13:30', 'Wednesday: 09:00 - 13:30', 'Thursday: 09:00 - 13:30', 'Friday: 09:00 - 13:30', 'Saturday: Closed', 'Sunday: Closed']",https://restaurants.subway.com/united-states/hi/honolulu/mini-mart?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=3942&utm_campaign=evergreen-2020&y_source=1_MTQ5MTUwNjAtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D
4369065,Panda Express,https://media-cdn.tripadvisor.com/media/photo-o/0e/8c/c7/86/photo8jpg.jpg,-157.84416,21.290707,Honolulu,Honolulu,Pacific/Honolulu,"1450 Ala Moana Blvd Ste 1160N, Makai Market food court, Ala Moana Center, Honolulu, Oahu, HI 96814-4604",1,JPY,4.0,182,"['chinese', 'fast_food', 'asian']",https://www.tripadvisor.com/Restaurant_Review-g60982-d4369065-Reviews-Panda_Express-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 09:30 - 21:00', 'Tuesday: 09:30 - 21:00', 'Wednesday: 09:30 - 21:00', 'Thursday: 09:30 - 21:00', 'Friday: 09:30 - 21:00', 'Saturday: 09:30 - 21:00', 'Sunday: 09:30 - 19:00']",http://www.pandaexpress.com
500284,Zippy's Restaurant,https://media-cdn.tripadvisor.com/media/photo-o/0f/35/f6/31/photo0jpg.jpg,-158.02136,21.37924,Honolulu,Waipahu,Pacific/Honolulu,"94-180 Farrington Hwy, Waipahu, Oahu, HI 96797-1901",1,JPY,3.5,23,['american'],https://www.tripadvisor.com/Restaurant_Review-g60663-d500284-Reviews-Zippy_s_Restaurant-Waipahu_Oahu_Hawaii.html?m=66827,"['Monday: 09:00 - 17:00', 'Tuesday: 09:00 - 17:00', 'Wednesday: 09:00 - 17:00', 'Thursday: 09:00 - 17:00', 'Friday: 09:00 - 17:00', 'Saturday: 09:00 - 17:00', 'Sunday: 09:00 - 17:00']",http://www.zippys.com
434016,KUNI Restaurant,https://media-cdn.tripadvisor.com/media/photo-o/01/e4/55/0c/tonkatsu.jpg,-158.02013,21.37995,Honolulu,Waipahu,Pacific/Honolulu,"94-210 Leokane St, Waipahu, Oahu, HI 96797-2131",2,JPY,4.5,22,"['japanese', 'asian']",https://www.tripadvisor.com/Restaurant_Review-g60663-d434016-Reviews-KUNI_Restaurant-Waipahu_Oahu_Hawaii.html?m=66827,"['Monday: 11:00 - 14:00,  17:00 - 21:00', 'Tuesday: 11:00 - 14:00,  17:00 - 21:00', 'Wednesday: 11:00 - 14:00,  17:00 - 21:00', 'Thursday: 11:00 - 14:00,  17:00 - 21:00', 'Friday: 11:00 - 14:00,  17:00 - 21:00', 'Saturday: 11:00 - 14:00,  17:00 - 21:00', 'Sunday: 11:00 - 14:00,  17:00 - 21:00']",http://www.restaurantkuni.com
813745,Andy's Sandwiches & Smoothies,https://media-cdn.tripadvisor.com/media/photo-o/05/9c/2e/22/andy-s-sandwiches-smoothies.jpg,-157.81027,21.309761,Honolulu,Honolulu,Pacific/Honolulu,"2904 E Manoa Rd, Honolulu, Oahu, HI 96822-1801",1,JPY,4.5,78,"['american', 'fast_food', 'healthy']",https://www.tripadvisor.com/Restaurant_Review-g60982-d813745-Reviews-Andy_s_Sandwiches_Smoothies-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 07:00 - 17:30', 'Tuesday: 07:00 - 17:30', 'Wednesday: 07:00 - 17:30', 'Thursday: 07:00 - 17:30', 'Friday: 07:00 - 16:00', 'Saturday: Closed', 'Sunday: 07:00 - 14:30']",http://www.andyssandwiches.com
13159440,Hale Ikena,,-157.88565,21.34776,Honolulu,Honolulu,Pacific/Honolulu,"711 Morton Drive, Honolulu, Oahu, HI 96819",0,JPY,4.5,2,['american'],https://www.tripadvisor.com/Restaurant_Review-g60982-d13159440-Reviews-Hale_Ikena-Honolulu_Oahu_Hawaii.html?m=66827,,
19636615,Auntie Anne's,,-157.8449,21.290491,Honolulu,Honolulu,Pacific/Honolulu,"1450 Ala Moana Blvd Space #1107, Honolulu, Oahu, HI 96814-4604",0,JPY,,0,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d19636615-Reviews-Auntie_Anne_s-Honolulu_Oahu_Hawaii.html?m=66827,,https://www.auntieannes.com/hi/honolulu/205-1
5544902,Subway,,-157.85516,21.313337,Honolulu,Honolulu,Pacific/Honolulu,"1441 Pali Highway Nuuanu YMCA, Honolulu, Oahu, HI 96813",0,JPY,5.0,1,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d5544902-Reviews-Subway-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 08:00 - 19:30', 'Tuesday: 08:00 - 19:30', 'Wednesday: 08:00 - 19:30', 'Thursday: 08:00 - 19:30', 'Friday: 08:00 - 19:30', 'Saturday: 08:00 - 15:00', 'Sunday: Closed']",https://restaurants.subway.com/united-states/hi/honolulu/1441-pali-highway?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=54019&utm_campaign=evergreen-2020&y_source=1_MTQ5MDY5NjItNzY5LWxvY2F0aW9uLndlYnNpdGU%3D
8608034,Blue Water Shrimp & Seafood Alamoana Makai Market Food Court,https://media-cdn.tripadvisor.com/media/photo-o/08/fd/17/70/shrimp-with-pretty-flower.jpg,-157.84416,21.2907,Honolulu,Honolulu,Pacific/Honolulu,"1450 Ala Moana Blvd Makai Market Food Court, Ala Moana Center, Honolulu, Oahu, HI 96814-4604",2,JPY,4.0,98,"['seafood', 'hawaiian', 'fast_food']",https://www.tripadvisor.com/Restaurant_Review-g60982-d8608034-Reviews-Blue_Water_Shrimp_Seafood_Alamoana_Makai_Market_Food_Court-Honolulu_Oahu_Hawaii.html?m=66827,"['Monday: 09:30 - 21:00', 'Tuesday: 09:30 - 21:00', 'Wednesday: 09:30 - 21:00', 'Thursday: 09:30 - 21:00', 'Friday: 09:30 - 21:00', 'Saturday: 09:30 - 21:00', 'Sunday: 10:00 - 19:00']",https://www.facebook.com/BlueWaterShrimp
434285,Shinsho TEI,,-157.85522,21.31654,Honolulu,Honolulu,Pacific/Honolulu,"1613 Nuuanu Ave Ste A3, Honolulu, Oahu, HI 96817-3276",0,JPY,2.5,2,[],https://www.tripadvisor.com/Restaurant_Review-g60982-d434285-Reviews-Shinsho_TEI-Honolulu_Oahu_Hawaii.html?m=66827,,https://www.facebook.com/pages/Shinsho-Tei/115749661785606
