tripadvisor_id,name,thumbnail,longitude,latitude,city,state,country,address,price,currency_code,estimated_time,subcategory,rating,popularity,detail_url,product_website,weekday_hours,neighbors
20261395,Power Lounge North,,139.78712,35.552746,tokyo,Ota,Asia/Tokyo,"3-4-2 Hanedakuko Tokyo International Airport Terminal 2 3F, Ota 144-0041 Tokyo Prefecture",,JPY,2,"[{'name': 'traveler_resources', 'localized_name': 'Traveler Resources'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,8,https://www.tripadvisor.com/Attraction_Review-g1066454-d20261395-Reviews-Power_Lounge_North-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.tokyo-airport-bldg.co.jp/airport_lounge/,"['Monday: 06:00 - 21:30', 'Tuesday: 06:00 - 21:30', 'Wednesday: 06:00 - 21:30', 'Thursday: 06:00 - 21:30', 'Friday: 06:00 - 21:30', 'Saturday: 06:00 - 21:30', 'Sunday: 06:00 - 21:30']",['7278774']
14199634,Hamakawa Bashi,,139.73964,35.597294,tokyo,Shinagawa,Asia/Tokyo,"2_27_7 Higashioi, Shinagawa 140-0011 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,2,https://www.tripadvisor.com/Attraction_Review-g1066854-d14199634-Reviews-Hamakawa_Bashi-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7278774']
12652436,Shirogane Park,,139.73769,35.7038,tokyo,Shinjuku,Asia/Tokyo,"3 Shiroganecho, Shinjuku 162-0816 Tokyo Prefecture",,JPY,2,"[{'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.0,10,https://www.tripadvisor.com/Attraction_Review-g1066457-d12652436-Reviews-Shirogane_Park-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7278769']
12088053,Shinagawa Hanakaido Mizube Hiroba,,139.74467,35.602932,tokyo,Shinagawa,Asia/Tokyo,"1-13 Higashioi, Shinagawa 140-0011 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,8,https://www.tripadvisor.com/Attraction_Review-g1066854-d12088053-Reviews-Shinagawa_Hanakaido_Mizube_Hiroba-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.city.shinagawa.tokyo.jp/PC/shisetsu/shisetsu-bunka/shisetsu-bunka-kouen/hpg000022825.html,,['7278774']
12514035,Art Factory Jonanjima,,139.77623,35.580624,tokyo,Ota,Asia/Tokyo,"2-4-10 Jonanjima, Ota 143-0002 Tokyo Prefecture",,JPY,2,"[{'name': 'shopping', 'localized_name': 'Shopping'}, {'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",5.0,2,https://www.tripadvisor.com/Attraction_Review-g1066454-d12514035-Reviews-Art_Factory_Jonanjima-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.artfactory-j.com/,,['7278774']
12151904,Mita Kasuga Shrine,,139.74478,35.649597,tokyo,Mita,Asia/Tokyo,"2-13-9, Mita, Minato 108-0073 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,14,https://www.tripadvisor.com/Attraction_Review-g14129732-d12151904-Reviews-Mita_Kasuga_Shrine-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://phoresto.net/shrine/mitakasuga/,,['7278767']
23460016,Traditional Thai Massage Baan Rak Kagurazaka,,139.73715,35.702694,tokyo,Shinjuku,Asia/Tokyo,"6-66-2 Kagurazaka 5F Mikami Bldg., Shinjuku 162-0825 Tokyo Prefecture",,JPY,2,"[{'name': 'wellness_spas', 'localized_name': 'Spas & Wellness'}, {'name': 'activities', 'localized_name': 'Activities'}]",,0,https://www.tripadvisor.com/Attraction_Review-g1066457-d23460016-Reviews-Traditional_Thai_Massage_Baan_Rak_Kagurazaka-Shinjuku_Tokyo_Tokyo_Prefecture_Ka.html?m=66827,https://kagurazaka.massage-tokyo.jp/,"['Monday: 12:00 - 23:00', 'Tuesday: 12:00 - 23:00', 'Wednesday: 12:00 - 23:00', 'Thursday: 12:00 - 23:00', 'Friday: 12:00 - 23:00', 'Saturday: 12:00 - 23:00', 'Sunday: 12:00 - 23:00']",['7278769']
1850754,Keihin-Jima Tsubasa park,,139.7705,35.57133,tokyo,Ota,Asia/Tokyo,"Keihinjima, Ota 143-0003 Tokyo Prefecture",,JPY,2,"[{'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",4.0,77,https://www.tripadvisor.com/Attraction_Review-g1066454-d1850754-Reviews-Keihin_Jima_Tsubasa_park-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.city.ota.tokyo.jp/shisetsu/park/keihinjima_tsubasa.html,,['7278774']
15150574,Jokogumo,,139.7384,35.703117,tokyo,Shinjuku,Asia/Tokyo,"1-6 Shiroganecho, Shinjuku 162-0816 Tokyo Prefecture",,JPY,2,"[{'name': 'shopping', 'localized_name': 'Shopping'}]",,0,https://www.tripadvisor.com/Attraction_Review-g1066457-d15150574-Reviews-Jokogumo-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.jokogumo.jp/shop/,,['7278769']
12690418,Take to Shitashimu Hiroba,,139.90623,35.70266,tokyo,Edogawa,Asia/Tokyo,"5-5 Shinozakimachi, Edogawa 133-0061 Tokyo Prefecture",,JPY,2,"[{'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",2.5,3,https://www.tripadvisor.com/Attraction_Review-g1066445-d12690418-Reviews-Take_to_Shitashimu_Hiroba-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.city.edogawa.tokyo.jp/edogawa100/edogawarashisa/midori_kouen/107.html,,[]
